Scientific Name,Type Specimen,Synonyms,Asterisk Note,Other Notes,
Aaptos vannamei,,,,questionable identification of a black sponge,
Cliona californiana,,C. celata,,,
Aglaophenia longicarpa,,,, ,
Anthopleura dowii,,,Yes,anemone,
Palythoa complanata,holotype,Zoanthus pulchellus,Yes,type locality; noted in the Narrative as “In superficial appearance it was identical with…Zoanthus pulchellus” of the Caribbean,
Pinna rugosa,,,,the principal commercial Gulf hacha,
Isognomon janus,,I. anomioides,,"junior synonym; very common, thin rock oyster on rocky shores in the Gulf",
Isognomon recognitus,,I. chemnitziana d’Orbigny,,junior synonym,
Mitrella guttata,,Columbella ocellata,Yes,"junior synonym; one of the most common small snails in the Gulf; some consider it a synonym of Mitrella/Columbella ocellata, a trans-Atlantic species",
Coralliophila californica,,,, ,
Plicopurpura patula,,Purpura patula, Purpura pansa,Yes,junior synonym; one of the purple dye snails
Stramonita haemastoma,,Thais biserialis,Yes,junior synonym,
Vasula speciosa,,"Thais centiquadrata, Thais speciosa, Purpura speciosa, Purpura centriquadra, Manciella speciosa, Purpura triserialis",Yes,junior synonym; tortuous nomenclatural history,
Echinolittorina modesta,,Littornia conspersa,Yes,junior synonym,
Lottia atrata,,Acmaea atrata,Yes,with the barnacle Chthamalus anisopoma attached,
Lottia discors,,Acmaea discors,Yes,,
Tectura fascicularis,,Acmaea fascicularis,Yes,,
Pleurobranchus digueti,,,,the “red tectibranch” of the Narrative,
Didemnum carnulentum,,,, ,
Trididemnum opacum,,,, ,
Conus nux,,,, ,
Echinolittorina modesta,,Nodilittorina modesta,Yes,,
Simnialena inflexa,,,,Ovulidae,
Mitrella santabarbarensis,,Anachis reevei,Yes,junior synonym,
Columbella fuscata,,,, ,
Mitrella densilineata,,Nitidella densilineata,Yes,junior synonym,
Coralliophila californica,,,, ,
Pleurobranchus areolatus,,Pleurobranchus digueti,Yes,almost certainly a misidentification,
Planocera-like forms,,,,flatworms,
Crisia sp.,,"C. operculata Robertson, 1910",,likely C. operculata,
Apionsoma misakianum,,"Phascolosma hesperum, Golfingia hespera",Yes,junior synonym,
Polydora sp.,,"P. citron, P. websteri",,attached to the tube of Spirobranchus; described by Olga Hartman in the mid-1940s,
Eupomatus sp.,,"E. brachyacantha, E. recurvispina, E. uncinatus",,minute serpulids attached to tube of Spirobranchus; 3 species known from the Gulf today,
Spirobranchus incrassatus,,,,"“a large worm with anastomosing calcareous tubes; spiral gills banded red, white, and black""",
Heliaster kubiniji,,,,the most common of the Gulf sun stars,
Pentaceraster cumingi,,Oreaster occidentalis,Yes,junior synonym; widespread Tropical East Pacific species,
Ophiocoma alexandri,,,Yes, ,
Eucidaris thouarsii,,,,one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”,
Echinometra vanbrunti,,,, ,
Holothuria lubrica,,Slenkothuria lubrica,Yes,"the sulfur cucumber; the most common sea cucumber taken during the expedition, and the most common cucumber in the Gulf littoral today",
Tetraclita stalactifera,,Tetraclita squamosa stalactifera,,,
Chthamalus anisopoma,,,, ,
Megabalanus californicus,,Balanus tintinabulum californicus,,,
Megabalanus peninsularis,,Balanus tintinabulum peninsularis,,,
Balanus trigonus,,,, ,
Petrolisthes hians,,Pisosoma flagraciliata,Yes,junior synonym,
Petrolisthes edwardsii,,,, ,
Grapsus grapsus,,,,Sally Lightfoot crab; taken at all rocky shore stations,
Pachygrapsus socius,,Pachygrapsus transversus,Yes,"as in Phyletic Catalogue, an Atlantic species",
Percnon gibbesi,,,, ,
Thoe sulcata,,,, ,
Pilumnoides sp.,,P. rotundus,,"juvenile; only one species reported from the Gulf today, rare in the Gulf",
Isognomon janus,,I. anomioides,Yes,"junior synonym; very common, thin rock oyster on rocky shores in the Gulf",
Saccostrea palmula,,"Ostrea cumingiana, O. mexicana",Yes,junior synonyms; fairly common edible oyster found throughout the Gulf and common in Northern Gulf shell middens,
Chama echinata,,,, ,
Siphonaria aequilorata,,Siphonaria aequilirata,Yes,misspelled as “aequilirata”; an intertidal pulmonate; the “sand flat limpet” of the Narrative,
Siphonaria maura,,Simnia variabilis,Yes,an intertidal limpet,
