Scientific Name,Type Specimen,Synonyms,Asterisk Note,Other Notes,,
Membranipora tuberculata,,,,“a common bryozoan ranging from California to Peru”,,
Halosydna glabra,,,,“a scale worm described the year before the expedition”,,
Eurythoe complanata,,,,“the ubiquitous fire worm; found at every rocky shore site S&R visited”,,
Anaitides madeirensis,,,,“an elongate phyllodocid polychaete”,,
Ophiodromus pugettensis,,Podarke pugettensis,,"found only in the ambulacral groove of Oreaster occidentalis by S&R, but known to be a symbiont in several Gulf sea stars",,
Odontosyllis sp.,,,Yes,"there are 4 species of Odontosyllis known from the Gulf: O. heterodonta, O. phosphorea, O. polycera, O. undecimdonta; the last was described and named by Olga Hartman in 1964, who identified the S&R polychaetes",,
Eunice aphroditois,,,, ,,
Eunice antennata,,,,“a wide-ranging polychaete occurring from Southern California to Ecuador; the “Lumbrinereis-like form” in the Narrative”,,
Idanthyrsus pennatus,,,,“a circumtropical terebellid polychaete”,,
Heliaster kubiniji,,,, ,,
Phataria unifascialis,,,, ,,
Pharia pyramidata,,,, ,,
Nidorellia armata,,,,“a very common shallow-water sea star in the Gulf, but collected by S&R only at Pulmo Reef and Puerto Escondido”,
Mithrodia bradleyi,,,, ,,
Pentaceraster cumingi,,Oreaster occidentalis,Yes,junior synonym; a widespread Tropical East Pacific species,,
Ophiothrix spiculata,,,, ,,
Ophiothrix rudis,,,,“an uncommon brittle star ranging from the Southern Gulf to southern Mexico; most often reported from corals but both species of Ophiothrix in the Gulf live commensally with other organisms”,,
Ophiactis simplex,,,,Yes,“the small, 5- or 6-armed brittle star”
Ophiocoma alexandri,,,,Yes,,
Eucidaris thouarsii,,,,“the commonest sea urchin in the Gulf; collected “at practically every suitable collecting place””,,
Echinometra vanbrunti,,,, ,,
Arbacia incisa,,,,“these are the urchins S&R noted at Pulmo Reef, “penetrated all but the heaviest part of the soles of our rubber boots””,
Afrocucumis ovulum,,Euthyonidiuim ovulum,Yes,"an uncommon species known only from the Central and Southern Gulf, south to Peru; taken only at this location",,
Megabalanus peninsularis,,Balanus tintinabulum peninsularis,,,,
Alpheus wonkimi,,Crangon [= Alpheus] malleator,Yes,a snapping shrimp,,
Alpheus lottini,,Crangon ventrosus,Yes,a tropical trans-Pacific snapping shrimp,,
Trapezia spp.,,,,red coral crabs,,
Mithrax denticulatus,,M. areolatus,Yes,spider crab,,
Exosphaeroma yucatanum,,E. yucatanum,Yes,almost certainly a misidentification of some other sphaeromatid isopod; E. yucatanum is a west Atlantic species,,
Tetraclita stalactifera,,Tetraclita squamosa stalactifera,,,,
Alpheus lottini,,,,Yes,,
Synalpheus sanlucasi,,,,Yes,,
Synalpheus sanjosei,,,, ,,
Synalpheus digueti,,,, ,,
Synalpheus sp.,,,, ,,
Calcinus californiensis,,,,“one of the most attractive hermit crabs in the Gulf”,,
Pachycheles biocellatus,,Petrolisthes biocellatus,,“living in coral interstices”,,
Pachycheles panamensis,,Pachycheles sonorensis,,“Pachycheles sonorensis”,,
Pachycheles setimanus,,Petrolisthes setimanus,,“living in coral interstices”,,
Pachycheles sp.,,,,“6 species of Pachycheles are known from the Gulf today”,,
Petrolisthes hians,,Pisosoma flagraciliata,,junior synonym,,
Thoe sulcata,,,, ,,
Mithraculus denticulatus,,Mithrax areolatus,Yes,junior synonym; common,,
Platypodiella rotundata,,Platypodia rotundata,,,,
Daira americana,,,, ,,
Pilumnus pygmaeus,,,,“an uncommon hairy crab of the Southern Gulf”,,
Eriphia squamata,,,,“old lumpy claws; a very common small  pugnacious xanthid crab ranging from the Upper Gulf to Peru”,,
Domecia hispida,,Eriphides hispida,Yes,junior synonym of this circumtropical coral-inhabiting crab,,
Trapezia bidentata,,Trapezia cymodoce ferruginea,Yes,junior synonym; the “cherry-colored coral crab” in the Narrative,,
Trapezia digitalis,,,,“common among the coral heads”,,
Trapezia sp.,,,Yes,perhaps T. digitalis,,
Grapsus grapsus,,,,“Sally Lightfoot crab; taken at all rocky shore stations”,,
Pachygrapsus socius,,Pachygrapsus transversus,Yes,an Atlantic species,,
Isognomon janus,,I. anomioides,Yes,"junior synonym; very common, thin rock oyster on rocky shores in the Gulf",,
Ostrea sp.,,,,“reported as a “Chama-like form”; there are 7 true oysters [Ostreidae] in the Gulf, the most “Chama-like” being Ostrea conchaphila”,
Gregariella coarctata,,Botulina opifex,Yes,misidentified as a west Atlantic species; a fairly common boring clam in the Gulf,,
Brachidontes semilaevis,,Brachidontes multiformis,Yes,junior synonym; a very common small mytilid mussel in the Gulf,,
Lithophaga aristata,,,, ,,
Chama echinata,,,,“attached by the left valve to rocks; this is the “oyster-like form [Spondylus?]” from the Narrative”,,
Siphonaria maura,,Siphonarea pica,Yes,“junior synonym; the “stellate Acmaea” of the Narrative”,,
Coralliophila monodonta,,Galeropsis madreporarum,Yes,junior synonym,,
Vermetus contortus,,,,“a worm snail strongly resembling a serpulid polychaete”,,
Hexaplex princeps,,Phyllonotus princeps,Yes,junior synonym,,
Thais planospiral,,,,“known locally as “ojo de Judas””,,
Ovulidae,,,, ,,
Simnialena inflexa,,Simnia variabilis,Yes,junior synonym; Ovulidae,,
Naria albuginnosa,,Cypraea albuginosa,,,,
Vermicularia pellucida eburnea,,Vermicularia eburnea,Yes,"the species was sunk into V. pellucida, which has several subspecies",,
Crepidula striolata,,Crepidula squama,Yes,junior synonym,,
Lottia atrata,,Acmaea atrata,Yes,junior synonym,,
Lottia discors,,Acmaea discors,Yes,junior synonym,,
Tectura fascicularis,,Acmaea fascicularis,Yes,junior synonym,,
Diodora alta,,,,“misspelled in Phyletic Catalogue as “Diadora””,,
Fissurella rugosa,,,, ,,
