Scientific Name,Type Specimen,Synonyms,Repository,Other Notes,Questionable ID
Chondrosia reniformis,,,,,FALSE
Muricea austera,,,,“large fleshy gorgonian” in the Narrative,FALSE
Pacifigorgia adamsi,,Gorgonia adamsi,,“lacy sea fans”,FALSE
Leptogorgia rigida,,,,,FALSE
Astrangia pedersenii,,,,a solitary coral and one of 11 Astrangia species in the Gulf; considered a junior synonym of A. haimei by Squires 1959,FALSE
Porites cf. porosa,,"P. panamensis, of most but not all modern workers",,on sand bottom adjacent to reef; this species is protected by Mexican federal law,FALSE
Pocillopora capitata,,,,"a major reef-building coral in Pulmo Bay. Reyes (1992) considers P. robusta and P. porosa to be junior synonyms of P. capitata. Many species of Pocillopora have been reported from the Gulf, but their taxonomy and nomenclature are still not well resolved.",FALSE
Pocillopora capitata capitata,,,,probably a misidentification of Pocillopora meandrina,TRUE
Pocillopora meandrina,,,,,FALSE
Stylochus sp. or spp.,,,,undescribed flatworm/Platyhelminthes; this might have been S. atentaculatus described by Hyman in 1953,FALSE
Membranipora tuberculata,,,,a common bryozoan ranging from California to Peru,FALSE
Halosydna glabra,,,,a scale worm described the year before the expedition,FALSE
Eurythoe complanata,,,,the ubiquitous fire worm; found at every rocky shore site S&R visited,FALSE
Anaitides madeirensis,,,,an elongate phyllodocid polychaete,FALSE
Ophiodromus pugettensis,,Podarke pugettensis,,"S&R found it only in the ambulacral groove of Oreaster occidentalis, but it is known to be a symbiont in several Gulf sea stars",FALSE
Odontosyllis sp.,,,,"there are 4 species of Odontosyllis known from the Gulf: O. heterodonta, O. phosphorea, O. polycera, O. undecimdonta; the last was described and named by Olga Hartman in 1964, who identified the S&R polychaetes",FALSE
Eunice aphroditois,,,,,FALSE
Eunice antennata,,,,a wide-ranging polychaete occurring from Southern California to Ecuador; the “Lumbrinereis-like form” in the Narrative,FALSE
Idanthyrsus pennatus,,,,a circumtropical terebellid polychaete,FALSE
Heliaster kubiniji,,,,,FALSE
Phataria unifascialis,,,,,FALSE
Pharia pyramidata,,,,,FALSE
