type_specimen,synonyms,repository,other_notes,questionable_id,scientific_name,collection_site,location_english
NA,NA,NA,Hawksbill turtle; harpooned,FALSE,Eretmochelys imbricata,Offshore (outside) Magdalena Bay (southwest Baja California Peninsula),Magdalena Bay
NA,NA,NA,symbiotic hydroid found on the harpooned turtle,FALSE,Obelia dichotoma,Offshore (outside) Magdalena Bay (southwest Baja California Peninsula),Magdalena Bay
NA,NA,NA,"pelagic crab found with the turtle; Planes minutus is an Atlantic and Indian Ocean species, so the crab found was likely Planes major, a well-known facultative symbiont of sea turtles, especially loggerhead turtles",FALSE,Planes minutus,Offshore (outside) Magdalena Bay (southwest Baja California Peninsula),Magdalena Bay
NA,NA,NA,"the pelagic red crab; filled the turtle's gut, and was also found in schools offshore",FALSE,Pleuroncodes planipes,Offshore (outside) Magdalena Bay (southwest Baja California Peninsula),Magdalena Bay
NA,NA,NA,the most commonly encountered sponge of the expedition,FALSE,Geodia mesotriaena,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,one of the most common hydroids in the northeastern Pacific,FALSE,Aglaophenia diegensis,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a solitary coral and one of 11 Astrangia species in the Gulf; considered a junior synonym of A. haimei by Squires 1959,FALSE,Astrangia pedersenii,Punta/Bahía San Marcial,Marcial Reef
NA,"P. porosa, a junior synonym",NA,"S&R correctly noted this was the commonest coral on Gulf shores, occurring as dome-shaped encrusting heads 8 inches in diameter",FALSE,Porites californica massive form,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,this might have been Stylochoplana panamensis,FALSE,Stylochus (?) sp.,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,one of the most widespread bryozoans in the Gulf; also ranging from central California to Panama,FALSE,Bugula neretina,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,no species in this genus are known to occur in the Gulf; many Lagenipora have been transferred to other genera in recent years,FALSE,Lagenipora erecta,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"misspelled in the Narrative as “Lichenspora,” p. 342; there are three species of Lichenopora in the Gulf: L. buskiana, L. intricata, L. novaezelandiae",FALSE,Lichenopora sp.,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Scrupocellaria sp.,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a tropical scale worm,FALSE,Iphione ovata,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a widely distributed East Pacific scale worm,FALSE,Thormora johnstoni,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,the ubiquitous fire worm; found at every rocky shore site the expedition visited,FALSE,Eurythoe complanata,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"there are 4 species of Odontosyllis known from the Gulf: O. heterodonta, O. phosphorea, O. polycera, O. undecimdonta; the last was described and named by Olga Hartman in 1964, who identified the S&R polychaetes",FALSE,Odontosyllis sp.,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a circumtropical terebellid polychaete,FALSE,Thelepus setosus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Heliaster kubiniji,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Phataria unifascialis,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Pharia pyramidata,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Mithrodia bradleyi,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Astrometis sertulifera,Punta/Bahía San Marcial,Marcial Reef
NA,Othelia tenuispina,NA,"noted to be more common the farther north they traveled; once very common, now less so due to uncontrolled beach tourism",FALSE,Echinaster tenuispina,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Ophiocoma alexandri,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,one of the most common urchins in the Gulf; collected “at practically every suitable collecting place”,FALSE,Eucidaris thouarsii,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Echinometra vanbrunti,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Centrostephanus coronatus,Punta/Bahía San Marcial,Marcial Reef
NA,Centrechinus mexicanus,NA,"curiously, S&R collected this common, toxic-spined species only twice, at Punta Lobos and at Marcial Point",FALSE,Diadema mexicanum,Punta/Bahía San Marcial,Marcial Reef
NA,Stichopus fuscus,NA,it is surprising that this very common Gulf sea cucumber was found only at two localities by the expedition,FALSE,Isostichopus fuscus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Chthamalus anisopoma,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a wide-ranging isopod known from central California to Ecuador; S&R took these specimens by night-lighting,FALSE,Eurydice caudata,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a widespread eastern Pacific euphausid/krill; one of the primary food items of baleen whales in the Gulf,FALSE,Nyctiphanes simplex,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"a mysid, taken along with the euphausid N. simplex",FALSE,Archeomysis cf. maculata,Punta/Bahía San Marcial,Marcial Reef
holotype and allotype,Mysidopsis sp.,NA,"a mysid taken by night-lighting; not described until 1987, when Harrison and Bowman came across the specimen in the USNM collections; type locality",FALSE,Mysidium rickettsi,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Eurydice caudata,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Elasmopus pocillimanus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"probably an incorrect identification; likely one of the amphipod species named by J. L. Barnard in 1979—e.g., H. californica, H. guasave, H. yaqui, H. zuaque",FALSE,Hyale hawaiensis,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"likely an unknown species of caridean shrimp, but not a Crangon",FALSE,Crangon sp. No. 1,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"a recently molted specimen of the tropical, blue spiny lobster; it is odd that only a single specimen of this common lobster was taken by the expedition",FALSE,Panulirus inflatus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,the blue-spotted hermit crab; perhaps the most common hermit in the Gulf,FALSE,Clibanarius digueti,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,a very common porcelain crab in the Gulf,FALSE,Petrolithes hirtipes,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Pitho sexdentata,Punta/Bahía San Marcial,Marcial Reef
NA,"Anaptychus cornutus, a junior synonym",NA,NA,FALSE,Ala cornuta,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"the pugnacious blue swimming crab; S&R noted this was the most common crab in the Gulf, “found at practically every suitable station,” and this is still the case; [presence assumed]",FALSE,Callinectes bellicosus,Punta/Bahía San Marcial,Marcial Reef
NA,"Xanthodius hebes, a junior synonym",NA,NA,FALSE,Xanthodius sternberghii,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"S&R felt this was the only species of Uca they collected on the expedition; however, the taxonomy of this genus is desperately in need of revision and some species are difficult to differentiate",FALSE,Uca crenulata,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,Sally Lightfoot crab; taken at all rocky shore stations,FALSE,Grapsus grapsus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Chiton virgulatus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Acanthochitona sp.,Punta/Bahía San Marcial,Marcial Reef
NA,"Navicula mutabilis, a junior synonym",NA,the “minute Zirfaea-like form” of the Narrative,FALSE,Arca mutabilis,Punta/Bahía San Marcial,Marcial Reef
NA,Chama squamuligera,NA,Coan and Valentich-Scott [2012] consider C. squamuligera to be a white morph of C. echinata,FALSE,Chama echinata,Punta/Bahía San Marcial,Marcial Reef
NA,"Cerithidea mazatlanica, a junior synonym",NA,"Brusca disagrees with the synonymy of C. mazatlanica and C. californica, and the two seem easy to distinguish from one another",FALSE,Cerithideopsis californica,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,an intertidal pulmonate,FALSE,Melampus olivaceous,Punta/Bahía San Marcial,Marcial Reef
NA,"Nitidella guttata, a junior synonym",NA,"this species, one of the most common small snails in the Gulf, is considered a synonym of Mitrella/Columbella ocellata by some workers, but the latter is a trans-Atlantic species",FALSE,Mitrella guttata,Punta/Bahía San Marcial,Marcial Reef
NA,"Cerithium sculptum, a junior synonym",NA,one of the most common small snails in the Gulf,FALSE,Liocerithium judithae,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Conus princeps,Punta/Bahía San Marcial,Marcial Reef
NA,"Aletes squamigerus, a junior synonym; also = Aletes squamigerus, the scaled worm snail",NA,"this species is not reported from the Gulf today, so the identity of these specimens is unclear",FALSE,Thylacodes squamigerus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Tegula impressa,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Tegula sp.,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Acanthochitona exquisita,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,S&R note this is the commonest chiton in the Gulf; it remains so today,FALSE,Chiton virgulatus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,NA,FALSE,Ischnochiton tridentatus,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,"S&R speculated that this might be an undescribed species; 2 Eudistoma species are currently known from the Gulf, E. mexicanum and E. psammion",FALSE,Eudistoma sp.,Punta/Bahía San Marcial,Marcial Reef
NA,NA,NA,questionable identification of a black sponge,TRUE,Aaptos vannamei,"Puerto Escondido, outer bay",Puerto Escondido
NA,C. celata,NA,NA,FALSE,Cliona californiana,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,NA,FALSE,Aglaophenia longicarpa,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,anemone,FALSE,Anthopleura dowii,"Puerto Escondido, outer bay",Puerto Escondido
holotype,NA,USNM,type locality; noted in the Narrative as “In superficial appearance it was identical with…Zoanthus pulchellus” of the Caribbean,FALSE,Palythoa complanata,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,NA,FALSE,Zoanthus danae,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,a solitary coral and one of 11 Astrangia species in the Gulf; considered a junior synonym of A. haimei by Squires 1959,FALSE,Astrangia pedersenii,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,undescribed species of flatworm/Platyhelminthes,FALSE,Latocestus sp.,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,"4 species of Membranipora are known from the Gulf today: M. tuberculata, M. tenuis, M. savarti, M. arborescens",FALSE,Membranipora sp.,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,“small P. agassizii”,FALSE,Phascolosoma sp.,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,the ubiquitous fire worm; found at every rocky shore site the expedition visited,FALSE,Eurythoe complanata,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,"there are 4 species of Odontosyllis known from the Gulf: O. heterodonta, O. phosphorea, O. polycera, O. undecimdonta; the last was described and named by Olga Hartman in 1964, who identified the S&R polychaetes",FALSE,"Odontosyllis sp., pelagic epitokous stage","Puerto Escondido, outer bay",Puerto Escondido
NA,Aglaurides fulgida,NA,a Tropical East Pacific polychaete,FALSE,Oenone fulgida,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,NA,FALSE,Ceratonereis tentaculata,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,NA,FALSE,Heliaster kubiniji,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,NA,FALSE,Pharia pyramidata,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,15 inches in diameter,FALSE,Mithrodia bradleyi,"Puerto Escondido, outer bay",Puerto Escondido
NA,"Oreaster occidentalis, a junior synonym",NA,a widespread Tropical East Pacific species,FALSE,Pentaceraster cumingi,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,"a common littoral sea star in the Gulf, but collected by S&R only at Pulmo Reef and Puerto Escondido",FALSE,Nidorellia armata,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,sea star,FALSE,Leiaster teres,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,NA,FALSE,Phataria unifascialis,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,Eastern Pacific crown-of-thorns,FALSE,Acanthaster ellisii,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,NA,FALSE,Ophiothrix spiculata,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,USNM,NA,FALSE,Ophioderma teres,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,one of the commonest urchins in the Gulf; collected “at practically every suitable collecting place”,FALSE,Eucidaris thouarsii,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,a circumtropical species common in the Gulf,FALSE,Holothuria arenicola,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,a circumtropical species; S&R describe this as the second most common sea cucumber from their expedition,FALSE,Holothuria impatiens,"Puerto Escondido, outer bay",Puerto Escondido
NA,Slenkothuria lubrica,NA,the sulfur cucumber; the most common sea cucumber taken during the expedition,FALSE,Holothuria lubrica,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,a circumtropical species,FALSE,Holothura rigida,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,NA,FALSE,Neothyone gibbosa,"Puerto Escondido, outer bay",Puerto Escondido
NA,NA,NA,"not in Phyletic Catalogue, but identified by E. Deichmann; now a rare, Mexican endangered species due to over-exploitation in the 1980s and 1990s",FALSE,Isostichopus fuscus,"Puerto Escondido, outer bay",Puerto Escondido
